location_id,valid_time,O3,NO2,PM10,PM2.5
AE001,2024-05-30T12:00,186.880,16.093,57.440,31.243
AE001,2024-05-30T15:00,102.814,32.231,51.192,28.305
AE001,2024-05-30T18:00,67.783,31.781,55.280,31.313
AE001,2024-05-30T21:00,28.505,59.562,72.433,42.178
AE001,2024-05-31T00:00,13.611,59.914,85.314,50.740
AE001,2024-05-31T03:00,40.051,45.358,84.714,49.230
AE001,2024-05-31T06:00,124.939,43.557,81.577,43.533
AE001,2024-05-31T09:00,221.796,28.551,75.717,39.496
AE001,2024-05-31T12:00,194.036,22.657,60.377,30.419
AE001,2024-05-31T15:00,118.217,35.615,51.527,27.518
AE001,2024-05-31T18:00,97.478,24.723,52.638,29.558
AE001,2024-05-31T21:00,87.712,21.745,55.719,31.681
AE001,2024-06-01T00:00,74.515,20.979,58.857,33.575
AE001,2024-06-01T03:00,47.720,43.647,65.922,39.107
AE001,2024-06-01T06:00,78.485,57.486,57.610,31.663
AE001,2024-06-01T09:00,137.883,55.212,58.007,32.628
AE001,2024-06-01T12:00,178.597,24.418,46.071,24.549
AE001,2024-06-01T15:00,132.845,27.784,48.723,27.761
AE001,2024-06-01T18:00,110.195,23.543,64.090,35.916
AE001,2024-06-01T21:00,102.300,21.109,73.730,38.320
AE001,2024-06-02T00:00,132.924,14.396,107.627,51.430
AE001,2024-06-02T03:00,142.460,25.024,151.917,70.017
AE001,2024-06-02T06:00,212.865,22.687,176.488,69.870
AE001,2024-06-02T09:00,238.733,11.609,140.841,56.443
AE001,2024-06-02T12:00,150.450,13.350,127.033,41.611
AE001,2024-06-02T15:00,104.120,22.485,128.756,43.824
AE001,2024-06-02T18:00,128.621,13.957,140.452,52.701
AE001,2024-06-02T21:00,113.050,13.572,101.310,43.715
AE001,2024-06-03T00:00,103.040,15.245,68.752,33.902
AE001,2024-06-03T03:00,101.678,21.575,107.715,40.636
AE001,2024-06-03T06:00,137.325,21.823,223.999,56.822
AE001,2024-06-03T09:00,152.218,18.999,215.413,58.456
AE001,2024-06-03T12:00,145.151,18.660,138.862,47.972
AE001,2024-06-03T15:00,121.893,24.075,92.877,35.035
AE001,2024-06-03T18:00,100.246,27.795,88.384,35.188
AE001,2024-06-03T21:00,82.297,30.046,84.981,36.341
AE001,2024-06-04T00:00,72.202,28.376,81.195,35.638
AE001,2024-06-04T03:00,63.737,36.538,86.076,35.834
AE001,2024-06-04T06:00,113.961,34.860,134.941,39.717
AE001,2024-06-04T09:00,175.346,37.051,174.510,51.537
AE001,2024-06-04T12:00,225.449,30.648,170.909,53.479
AE002,2024-05-30T12:00,115.098,9.019,44.578,22.318
AE002,2024-05-30T15:00,154.058,14.737,91.527,45.433
AE002,2024-05-30T18:00,186.994,11.903,125.162,66.705
AE002,2024-05-30T21:00,205.378,9.093,142.551,77.863
AE002,2024-05-31T00:00,135.017,8.075,127.617,75.369
AE002,2024-05-31T03:00,110.742,14.702,134.936,80.373
AE002,2024-05-31T06:00,206.925,21.632,122.138,63.403
AE002,2024-05-31T09:00,242.187,11.255,114.204,59.105
AE002,2024-05-31T12:00,192.410,7.020,76.898,39.751
AE002,2024-05-31T15:00,121.363,15.535,55.423,29.951
AE002,2024-05-31T18:00,93.329,17.146,55.015,30.202
AE002,2024-05-31T21:00,94.799,12.920,57.293,32.579
AE002,2024-06-01T00:00,108.693,7.684,58.716,33.330
AE002,2024-06-01T03:00,104.092,16.012,57.587,33.552
AE002,2024-06-01T06:00,139.267,15.175,37.901,20.281
AE002,2024-06-01T09:00,141.092,11.184,33.224,17.733
AE002,2024-06-01T12:00,131.291,9.683,38.280,20.791
AE002,2024-06-01T15:00,152.856,13.019,65.076,35.522
AE002,2024-06-01T18:00,151.905,13.709,92.818,49.225
AE002,2024-06-01T21:00,156.559,11.250,114.060,58.667
AE002,2024-06-02T00:00,224.627,4.558,163.759,78.368
AE002,2024-06-02T03:00,184.194,9.276,166.893,71.842
AE002,2024-06-02T06:00,130.691,7.792,130.512,42.244
AE002,2024-06-02T09:00,139.403,4.003,204.324,45.572
AE002,2024-06-02T12:00,136.186,4.815,206.759,57.590
AE002,2024-06-02T15:00,129.789,8.259,175.220,60.474
AE002,2024-06-02T18:00,123.181,7.145,113.525,47.927
AE002,2024-06-02T21:00,123.142,5.620,57.851,27.326
AE002,2024-06-03T00:00,129.515,4.950,112.947,40.285
AE002,2024-06-03T03:00,129.880,8.816,297.281,65.579
AE002,2024-06-03T06:00,150.146,5.163,299.102,64.176
AE002,2024-06-03T09:00,163.224,3.621,148.189,41.890
AE002,2024-06-03T12:00,154.211,5.384,116.166,32.113
AE002,2024-06-03T15:00,139.036,10.158,97.923,30.322
AE002,2024-06-03T18:00,132.665,8.839,92.135,31.101
AE002,2024-06-03T21:00,111.367,10.971,85.912,32.744
AE002,2024-06-04T00:00,104.162,7.830,83.442,32.192
AE002,2024-06-04T03:00,85.350,15.799,86.256,32.908
AE002,2024-06-04T06:00,124.738,19.614,128.555,34.373
AE002,2024-06-04T09:00,157.230,10.650,161.535,39.326
AE002,2024-06-04T12:00,172.401,10.849,126.695,39.923
AF001,2024-05-30T12:00,95.930,0.899,25.324,4.734
AF001,2024-05-30T15:00,82.100,3.718,18.846,6.523
AF001,2024-05-30T18:00,73.110,5.142,21.666,7.933
AF001,2024-05-30T21:00,66.362,4.653,19.471,7.542
AF001,2024-05-31T00:00,64.256,4.162,19.966,6.747
AF001,2024-05-31T03:00,79.709,2.224,32.326,7.149
AF001,2024-05-31T06:00,106.154,0.913,22.308,5.712
AF001,2024-05-31T09:00,114.855,0.635,12.892,3.868
AF001,2024-05-31T12:00,116.047,1.008,9.897,3.011
AF001,2024-05-31T15:00,97.262,4.017,8.194,4.237
AF001,2024-05-31T18:00,84.469,5.551,9.879,5.212
